"Date";"Value";"Country"
2018-12-31;3048.51788475;"Kuwait"
2017-12-31;3000.86586301;"Kuwait"
2016-12-31;3141.08047486;"Kuwait"
2015-12-31;3060.77598082;"Kuwait"
2014-12-31;3097.08342466;"Kuwait"
2013-12-31;3124.7460274;"Kuwait"
2012-12-31;3164.40797814;"Kuwait"
2011-12-31;2909.38178082;"Kuwait"
2010-12-31;2555.94863033;"Kuwait"
2009-12-31;2495.4885209;"Kuwait"
2008-12-31;2781.18751366;"Kuwait"
2007-12-31;2657.49170254;"Kuwait"
2006-12-31;2733.33473973;"Kuwait"
2005-12-31;2666.19778082;"Kuwait"
2004-12-31;2517.22734973;"Kuwait"
2003-12-31;2368.35550685;"Kuwait"
2002-12-31;2026.55109589;"Kuwait"
2001-12-31;2183.54369863;"Kuwait"
2000-12-31;2244.42256831;"Kuwait"
1999-12-31;2085;"Kuwait"
1998-12-31;2232;"Kuwait"
1997-12-31;2137;"Kuwait"
1996-12-31;2129;"Kuwait"
1995-12-31;2130;"Kuwait"
1994-12-31;2085;"Kuwait"
1993-12-31;1945;"Kuwait"
1992-12-31;1077;"Kuwait"
1991-12-31;185;"Kuwait"
1990-12-31;964;"Kuwait"
1989-12-31;1408;"Kuwait"
1988-12-31;1286;"Kuwait"
1987-12-31;1072;"Kuwait"
1986-12-31;1210;"Kuwait"
1985-12-31;1127;"Kuwait"
1984-12-31;1229;"Kuwait"
1983-12-31;1117;"Kuwait"
1982-12-31;862;"Kuwait"
1981-12-31;1187;"Kuwait"
1980-12-31;1757;"Kuwait"
1979-12-31;2623;"Kuwait"
1978-12-31;2182;"Kuwait"
1977-12-31;2024;"Kuwait"
1976-12-31;2199;"Kuwait"
1975-12-31;2132;"Kuwait"
1974-12-31;2603;"Kuwait"
1973-12-31;3080;"Kuwait"
1972-12-31;3339;"Kuwait"
1971-12-31;3253;"Kuwait"
1970-12-31;3036;"Kuwait"
1969-12-31;2819;"Kuwait"
1968-12-31;2656;"Kuwait"
1967-12-31;2522;"Kuwait"
1966-12-31;2505;"Kuwait"
1965-12-31;2371;"Kuwait"
2018-12-31;978.38739726;"Oman"
2017-12-31;970.569589041;"Oman"
2016-12-31;1004.26256831;"Oman"
2015-12-31;981.089863014;"Oman"
2014-12-31;943.47890411;"Oman"
2013-12-31;941.949315068;"Oman"
2012-12-31;918.471857923;"Oman"
2011-12-31;884.920273973;"Oman"
2010-12-31;864.588219178;"Oman"
2009-12-31;812.520273973;"Oman"
2008-12-31;756.75;"Oman"
2007-12-31;710.393150685;"Oman"
2006-12-31;737.650136986;"Oman"
2005-12-31;774.289041096;"Oman"
2004-12-31;779.739617486;"Oman"
2003-12-31;819.509041096;"Oman"
2002-12-31;897.377534247;"Oman"
2001-12-31;955.777534247;"Oman"
2000-12-31;954.796994536;"Oman"
1999-12-31;904.688767123;"Oman"
1998-12-31;905;"Oman"
1997-12-31;909;"Oman"
1996-12-31;897;"Oman"
1995-12-31;868;"Oman"
1994-12-31;819;"Oman"
1993-12-31;785;"Oman"
1992-12-31;748;"Oman"
1991-12-31;716;"Oman"
1990-12-31;695;"Oman"
1989-12-31;651;"Oman"
1988-12-31;625;"Oman"
1987-12-31;588;"Oman"
1986-12-31;564;"Oman"
1985-12-31;502;"Oman"
1984-12-31;419;"Oman"
1983-12-31;391;"Oman"
1982-12-31;338;"Oman"
1981-12-31;330;"Oman"
1980-12-31;285;"Oman"
1979-12-31;295;"Oman"
1978-12-31;314;"Oman"
1977-12-31;340;"Oman"
1976-12-31;367;"Oman"
1975-12-31;341;"Oman"
1974-12-31;290;"Oman"
1973-12-31;293;"Oman"
1972-12-31;282;"Oman"
1971-12-31;294;"Oman"
1970-12-31;332;"Oman"
1969-12-31;327;"Oman"
1968-12-31;241;"Oman"
1967-12-31;57;"Oman"
1966-12-31;0;"Oman"
1965-12-31;0;"Oman"
2018-12-31;3941.9319752;"UAE"
2017-12-31;3910.020932;"UAE"
2016-12-31;4037.54114959;"UAE"
