label;ts;cpu;temp
mail;2020-10-08 21:42:23.293831;14.0;52.095
mail;2020-10-08 21:42:24.297214;26.2;52.582
mail;2020-10-08 21:42:25.299170;38.1;52.095
mail;2020-10-08 21:42:26.301053;22.8;53.556
mail;2020-10-08 21:42:27.302957;25.4;52.095
mail;2020-10-08 21:42:28.304991;16.6;52.095
mail;2020-10-08 21:42:29.307238;4.3;51.608
mail;2020-10-08 21:42:30.309196;30.2;52.582
mail;2020-10-08 21:42:31.311128;13.8;52.582
mail;2020-10-08 21:42:32.313199;13.0;52.095
mail;2020-10-08 21:42:33.315091;55.4;53.556
mail;2020-10-08 21:42:34.316898;27.3;51.608
mail;2020-10-08 21:42:35.319143;9.8;51.608
mail;2020-10-08 21:42:36.321179;48.9;53.069
mail;2020-10-08 21:42:37.323116;16.0;51.608
mail;2020-10-08 21:42:38.325265;10.9;52.582
mail;2020-10-08 21:42:39.326450;62.4;53.556
mail;2020-10-08 21:42:40.328478;52.4;54.043
mail;2020-10-08 21:42:41.331821;27.0;51.608
mail;2020-10-08 21:42:42.332789;46.9;52.582
mail;2020-10-08 21:42:43.334954;24.6;54.043
mail;2020-10-08 21:42:44.336831;15.0;53.069
mail;2020-10-08 21:42:45.337842;22.4;54.53
mail;2020-10-08 21:42:46.340173;37.4;51.608
mail;2020-10-08 21:42:47.341834;18.1;52.095
mail;2020-10-08 21:42:48.343973;23.0;53.069
mail;2020-10-08 21:42:49.347623;31.6;52.095
mail;2020-10-08 21:42:50.349541;21.2;52.095
mail;2020-10-08 21:42:51.351753;15.3;53.069
mail;2020-10-08 21:42:52.353800;17.9;53.069
mail;2020-10-08 21:42:53.355822;33.5;52.582
mail;2020-10-08 21:42:54.357792;27.9;52.095
mail;2020-10-08 21:42:55.359538;27.2;52.095
mail;2020-10-08 21:42:56.361860;34.6;52.095
mail;2020-10-08 21:42:57.364428;38.9;53.069
mail;2020-10-08 21:42:58.365838;14.8;52.582
mail;2020-10-08 21:42:59.367877;20.8;52.582
mail;2020-10-08 21:43:00.369838;31.5;53.069
mail;2020-10-08 21:43:01.371809;13.5;52.095
mail;2020-10-08 21:43:02.373687;18.3;52.582
mail;2020-10-08 21:43:03.377511;28.3;51.608
mail;2020-10-08 21:43:04.379400;11.3;52.582
mail;2020-10-08 21:43:05.381126;11.1;53.069
mail;2020-10-08 21:43:06.382890;15.7;52.582
mail;2020-10-08 21:43:07.384738;12.6;52.095
mail;2020-10-08 21:43:08.386388;29.6;52.582
mail;2020-10-08 21:43:09.388201;34.2;53.069
mail;2020-10-08 21:43:10.390062;14.8;52.095
mail;2020-10-08 21:43:11.392085;16.7;52.095
mail;2020-10-08 21:43:12.393824;23.9;52.582
mail;2020-10-08 21:43:13.397003;29.4;53.069
mail;2020-10-08 21:43:14.399221;25.1;52.582
mail;2020-10-08 21:43:15.401251;40.7;54.043
mail;2020-10-08 21:43:16.403308;48.0;52.582
mail;2020-10-08 21:43:17.405254;70.4;54.043
mail;2020-10-08 21:43:18.407126;31.2;52.582
mail;2020-10-08 21:43:19.409123;9.8;53.069
mail;2020-10-08 21:43:20.412556;14.9;52.582
mail;2020-10-08 21:43:21.414765;18.7;52.582
mail;2020-10-08 21:43:22.416762;17.0;53.069
mail;2020-10-08 21:43:23.418806;10.7;52.582
mail;2020-10-08 21:43:24.421024;5.5;52.582
