Date;Rate;Type
2000-01-13;5.75;Repo Rate
2000-02-10;6;Repo Rate
2001-02-08;5.75;Repo Rate
2001-04-05;5.5;Repo Rate
2001-05-10;5.25;Repo Rate
2001-08-02;5;Repo Rate
2001-09-18;4.75;Repo Rate
2001-10-04;4.5;Repo Rate
2001-11-08;4;Repo Rate
2003-02-06;3.75;Repo Rate
2003-07-10;3.5;Repo Rate
2003-11-06;3.75;Repo Rate
2004-02-05;4;Repo Rate
2004-05-06;4.25;Repo Rate
2004-06-10;4.5;Repo Rate
2004-08-05;4.75;Repo Rate
2005-08-04;4.5;Repo Rate
2006-08-03;4.75;Repo Rate
2006-08-03;4.75;Official Bank Rate
2006-11-09;5;Official Bank Rate
2007-01-11;5.25;Official Bank Rate
2007-05-10;5.5;Official Bank Rate
2007-07-05;5.75;Official Bank Rate
2007-12-06;5.5;Official Bank Rate
2008-02-07;5.25;Official Bank Rate
2008-04-10;5;Official Bank Rate
2008-10-08;4.5;Official Bank Rate
2008-11-06;3;Official Bank Rate
2008-12-04;2;Official Bank Rate
2009-01-08;1.5;Official Bank Rate
2009-02-05;1;Official Bank Rate
2009-03-05;0.5;Official Bank Rate
2016-08-04;0.25;Official Bank Rate
2017-11-02;0.5;Official Bank Rate
2018-08-02;0.75;Official Bank Rate
2020-03-11;0.25;Official Bank Rate
2020-03-19;0.1;Official Bank Rate
